AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
Adyar,1130,29,1,1,3,Family,Yes,Commercial,ELO,Paved,RH,2,2,2,2,468417,53533,13383350
Karapakkam,1301,59,1,1,3,Normal Sale,Yes,Others,NoSewage,Gravel,C,2,2,3,3,357283,71457,7939625
Adyar,730,185,1,1,2,AdjLand,Yes,House,ELO,Gravel,RL,2,4,4,4,265449,53090,8848285
T Nagar,1806,138,2,1,5,Family,No,House,NoSewage,Paved,RH,4,5,3,3,430852,113382,11338200
Anna Nagar,1981,173,2,1,5,AdjLand,No,House,ELO,No Access,RL,2,3,3,2,373300,218831,12872430
Adyar,868,15,1,1,3,Normal Sale,No,Others,NoSewage,Gravel,RL,2,2,2,2,325514,72336,9042050
T Nagar,1721,117,1,1,4,AdjLand,Yes,Others,ELO,Paved,RM,2,2,2,2,416483,223116,14874380
Velachery,1755,16,2,1,4,AdjLand,Yes,Others,All Pub,Gravel,A,4,4,4,4,306671,173780,10222380
Anna Nagar,1709,130,1,1,4,Family,No,Others,NoSewage,Gravel,RH,4,3,4,4,452501,90500,12928590
KK Nagar,2114,46,3,2,5,AdjLand,Yes,Commercial,NoSewage,Gravel,RH,2,3,3,3,632334,281037,17564820
Karapakkam,1226,180,1,1,3,Normal Sale,No,House,All Pub,Paved,A,4,3,4,4,154109,114339,4971250
Velachery,1648,111,2,1,4,Family,Yes,Others,NoSewage,Paved,C,4,2,2,2,275120,82536,9170660
Chrompet,856,36,1,1,3,AdjLand,Yes,Others,NoSewage,Gravel,RM,2,3,3,3,332269,103834,10383420
Adyar,904,52,1,1,3,AdjLand,No,Commercial,ELO,No Access,RM,3,3,2,3,348042,23203,11601400
Chrompet,1198,105,1,1,3,Normal Sale,No,Others,All Pub,No Access,RH,3,3,4,3,255727,98991,8249260
Karapakkam,931,16,1,1,3,AdjLand,No,Commercial,All Pub,Paved,A,4,4,2,3,291669,166668,6944500
Karapakkam,1290,86,1,1,3,AdjLand,Yes,House,All Pub,Paved,RH,3,2,4,3,364015,92940,7745000
Karapakkam,507,49,1,1,2,AbNormal,Yes,House,ELO,Gravel,RH,2,4,4,4,252032,74464,5728000
KK Nagar,2492,113,4,2,6,AbNormal,No,Commercial,NoSewage,Paved,RL,4,4,3,4,917550,224706,18725520
Karapakkam,851,105,1,1,2,Partial,No,House,All Pub,No Access,C,4,3,2,3,167896,39295,3572250
T Nagar,1882,189,2,1,5,AbNormal,Yes,Others,ELO,Gravel,RM,3,4,4,3,433393,272877,16051580
Anna Nagar,1710,15,1,1,4,Normal Sale,Yes,Commercial,All Pub,Gravel,RH,2,4,2,2,808639,161728,20215970
Karapakkam,1412,28,2,2,4,AdjLand,No,House,ELO,Gravel,RL,4,2,3,3,251370,192717,8379000
Adyar,779,51,1,1,2,Normal Sale,No,House,NoSewage,No Access,C,3,4,2,3,190463,31744,5290635
T Nagar,1655,19,1,1,4,AbNormal,No,Others,All Pub,Gravel,RH,2,4,3,3,376468,238430,12548930
Karapakkam,940,167,1,1,3,AdjLand,No,House,All Pub,Paved,RH,2,2,4,3,263599,64435,5857750
KK Nagar,1667,126,2,1,4,Partial,Yes,House,NoSewage,Paved,RM,4,2,5,4,364810,268243,10729700
KK Nagar,1926,49,3,2,5,Family,Yes,Commercial,NoSewage,Paved,RM,3,2,4,3,816325,153061,17006780
Adyar,718,75,1,1,2,Partial,Yes,Others,ELO,No Access,C,2,3,3,3,211662,55701,5570050
Karapakkam,545,154,1,1,2,Partial,No,Others,ELO,No Access,RH,3,2,3,2,165738,88651,3854375
Karapakkam,1249,25,1,1,3,AdjLand,Yes,Others,ELO,Gravel,RH,2,3,3,3,318010,120328,8594875
T Nagar,1894,187,2,1,5,Partial,Yes,House,NoSewage,Gravel,RL,2,3,4,3,406478,162591,13549250
Karapakkam,1469,200,2,2,4,AbNormal,No,Commercial,NoSewage,No Access,C,4,2,2,2,284423,132731,9480750
Adyar,916,32,1,1,3,Normal Sale,Yes,House,ELO,No Access,A,3,3,3,3,228053,23390,5847520
Chrompet,934,11,1,1,3,AdjLand,Yes,House,NoSewage,Paved,RM,3,4,3,3,310749,58265,9710900
Karapakkam,1691,100,2,2,4,AbNormal,No,House,NoSewage,Gravel,RM,4,3,3,3,319558,178576,9398750
Karapakkam,1236,36,1,1,3,Normal Sale,No,Commercial,NoSewage,Paved,I,3,3,2,2,334638,114481,8806250
T Nagar,1577,23,1,1,4,Partial,Yes,Others,NoSewage,Paved,RH,3,4,3,4,302183,193397,12087330
Anna Nagar,1915,13,2,1,5,Partial,Yes,Others,NoSewage,Gravel,RH,4,2,4,3,354391,170107,14175620
Anna Nagar,1600,154,1,1,4,Family,Yes,House,ELO,Gravel,RH,3,2,2,3,309941,166891,11920820
Velachery,1579,58,2,1,4,AbNormal,Yes,Commercial,ELO,Paved,I,4,2,2,2,467766,240565,13364730
Adyar,1260,89,2,2,4,Partial,No,Others,NoSewage,No Access,A,3,4,4,4,256150,34615,6922975
Adyar,1021,176,1,1,3,Normal Sale,No,Commercial,NoSewage,Paved,I,3,4,2,3,361868,175098,11673175
KK Nagar,2174,48,3,2,5,Family,Yes,Others,All Pub,Paved,RM,2,2,2,2,548929,313674,13069740
Anna Nagar,1589,39,1,1,4,Partial,No,Others,All Pub,Gravel,RL,2,2,4,3,451857,85486,12212350
Adyar,668,177,1,1,2,AbNormal,Yes,Commercial,NoSewage,Gravel,I,4,2,3,3,329074,102836,10283575
Velachery,1724,116,2,1,4,AbNormal,Yes,House,ELO,No Access,RL,3,2,2,2,358259,152260,8956480
Adyar,890,116,1,1,3,AbNormal,Yes,House,NoSewage,Paved,C,2,4,5,4,251557,43124,7187350
Adyar,1218,51,2,2,4,Normal Sale,No,Commercial,All Pub,No Access,I,4,3,3,3,377246,138323,12574850
Anna Nagar,1792,41,1,1,4,Family,Yes,House,ELO,Gravel,RM,2,2,2,2,514532,250313,13906270
Karapakkam,1378,192,2,2,4,AdjLand,No,Others,NoSewage,Gravel,RM,4,2,2,3,297525,208268,9917500
Karapakkam,898,72,1,1,3,Partial,Yes,Commercial,NoSewage,Paved,RH,2,3,2,2,345190,215744,8629750
Anna Nagar,1928,148,2,1,5,Partial,No,House,All Pub,No Access,RH,3,4,2,3,466682,105003,11667050
Chrompet,1233,24,2,1,4,AbNormal,No,House,NoSewage,Gravel,RM,2,2,4,2,245429,107989,9817150
Velachery,1618,100,2,1,4,AdjLand,Yes,Others,NoSewage,Paved,C,4,4,4,4,370522,92631,9263050
Karapakkam,627,49,1,1,2,Family,No,House,NoSewage,Gravel,RM,4,2,2,3,223975,92225,6587500
Velachery,1563,43,2,1,4,Family,No,House,NoSewage,Gravel,RM,4,4,2,3,303780,195987,9799360
Karapakkam,1693,187,2,2,4,Normal Sale,Yes,Commercial,NoSewage,Gravel,C,3,2,3,3,384045,166420,12801500
T Nagar,1522,85,1,1,4,Partial,No,Commercial,All Pub,Gravel,RL,4,3,3,3,506181,174545,17454510
Adyar,1090,171,1,1,3,Partial,Yes,Others,NoSewage,Gravel,RH,3,2,2,2,373632,98324,9832420
Chrompet,1085,149,1,1,3,AbNormal,Yes,Commercial,NoSewage,Gravel,RL,2,3,4,3,387815,100545,14363500
T Nagar,1687,73,1,1,4,AbNormal,No,Others,NoSewage,Paved,RH,4,4,2,3,411733,224582,12476770
Adyar,692,62,1,1,2,Normal Sale,Yes,Commercial,All Pub,Paved,RH,4,4,5,4,394491,124576,10381355
T Nagar,1518,145,1,1,4,Family,Yes,Commercial,All Pub,Paved,RH,3,3,4,3,457606,158402,17600240
Adyar,1025,125,1,1,3,Partial,No,Commercial,NoSewage,Paved,I,2,2,2,2,349916,142153,10934875
KK Nagar,2170,121,3,2,5,Family,Yes,House,NoSewage,Gravel,RL,3,4,4,4,593864,284560,12372160
Chrompet,969,70,1,1,3,Family,Yes,Commercial,ELO,No Access,RH,3,2,4,3,337463,146234,11248750
KK Nagar,1546,129,2,1,4,AbNormal,No,Commercial,All Pub,Gravel,RM,2,4,2,3,441475,142411,14241140
KK Nagar,1709,6,2,1,4,AbNormal,Yes,House,NoSewage,Paved,RL,4,3,2,3,467388,233694,10160600
T Nagar,1659,103,1,1,4,AdjLand,Yes,Others,NoSewage,No Access,RL,3,2,3,3,433251,216625,13539080
Chrompet,755,8,1,1,2,Normal Sale,No,Commercial,ELO,Gravel,RM,3,4,2,3,289649,42911,10727750
Adyar,1182,50,1,1,3,Normal Sale,Yes,House,All Pub,No Access,RL,3,3,3,3,374948,39468,9867055
Adyar,735,67,1,1,2,AdjLand,No,Commercial,NoSewage,No Access,RH,2,4,4,3,284361,132702,9478710
Chrompet,1089,0,1,1,3,Normal Sale,Yes,House,ELO,Paved,RL,2,2,3,2,235305,45251,9050200
Velachery,1534,6,2,1,4,Partial,Yes,Others,ELO,Paved,C,4,4,2,3,284552,63234,7904210
Anna Nagar,1622,147,1,1,4,Family,Yes,House,ELO,Gravel,RL,4,3,4,4,378840,209015,13063450
KK Nagar,2198,71,3,2,5,Partial,Yes,Others,NoSewage,Gravel,RM,4,4,3,4,679249,122265,13584980
Chrompet,1293,34,2,1,4,Normal Sale,No,Commercial,ELO,No Access,RL,3,2,3,2,419714,157393,13116050
KK Nagar,1641,178,2,1,4,Partial,No,Others,All Pub,Gravel,RL,4,4,3,3,460580,190239,10012600
Velachery,1950,185,3,2,5,AdjLand,Yes,Others,NoSewage,Paved,RL,5,4,3,4,411601,84741,12105920
Karapakkam,1245,106,1,1,3,Partial,No,Others,NoSewage,Paved,A,4,2,3,3,201653,113123,4918375
Chrompet,905,144,1,1,3,Family,No,Others,ELO,Gravel,RH,3,3,4,3,223393,77032,7703200
KK Nagar,1496,135,2,1,4,Family,No,House,NoSewage,Gravel,RH,3,3,2,3,265641,137105,8569080
Velachery,1892,38,3,2,5,AdjLand,Yes,House,ELO,Gravel,RM,3,3,4,3,449425,133613,12146620
Velachery,1517,40,2,1,4,Family,No,Commercial,ELO,Paved,C,4,4,2,3,408507,116716,11671620
Adyar,1034,73,1,1,3,AdjLand,Yes,Others,ELO,Gravel,C,3,3,3,4,277702,46284,9256740
Velachery,1755,142,2,1,4,Family,Yes,Commercial,NoSewage,Gravel,I,4,4,3,4,581720,193907,14915900
Anna Nagar,1622,79,1,1,4,AdjLand,Yes,House,NoSewage,Paved,RM,2,3,2,2,406434,243860,13547790
Chrompet,1092,89,1,1,3,Normal Sale,No,Others,All Pub,No Access,RH,2,2,2,2,246391,57491,8213040
Chrompet,821,34,1,1,3,AdjLand,No,House,NoSewage,Paved,RH,3,4,2,3,182600,65736,7304000
KK Nagar,1694,72,2,1,4,Family,No,Others,NoSewage,Gravel,RL,4,2,3,3,353291,114300,10390900
Anna Nagar,1809,177,2,1,5,Family,No,Commercial,All Pub,No Access,RL,3,3,2,2,518585,230482,19206870
Karapakkam,1401,20,2,2,4,Partial,Yes,Others,All Pub,Gravel,RL,3,4,4,4,438477,229204,9965375
Karapakkam,1470,99,2,2,4,AbNormal,No,Others,NoSewage,No Access,RH,3,3,3,3,302694,172968,7207000
Chrompet,798,166,1,1,2,Partial,No,Commercial,NoSewage,Paved,RH,2,2,3,2,253975,145129,9070550
Chrompet,764,137,1,1,2,Partial,No,House,ELO,No Access,RH,3,3,2,2,158766,90723,5670200
Chrompet,1135,50,1,1,3,AbNormal,No,Others,NoSewage,No Access,RM,4,2,3,3,296102,148051,9253200
Karapakkam,939,74,1,1,3,AbNormal,No,House,ELO,No Access,I,4,3,3,3,214700,38646,4294000
Karapakkam,1586,59,2,2,4,Normal Sale,Yes,Commercial,NoSewage,Gravel,RM,3,3,4,3,586956,200424,14316000
T Nagar,1973,63,2,1,5,Family,Yes,Commercial,All Pub,Gravel,RM,2,2,4,3,885666,116535,23307000
Chrompet,1023,44,1,1,3,Partial,Yes,House,All Pub,Paved,RM,3,2,3,3,282319,38941,9735150
Chrompet,884,75,1,1,3,Normal Sale,No,Commercial,NoSewage,No Access,RM,2,3,2,2,283410,45346,11336400
Anna Nagar,1640,113,1,1,4,AdjLand,No,Commercial,ELO,No Access,RH,2,3,3,3,495645,194718,17701600
Adyar,622,60,1,1,2,Normal Sale,No,Others,ELO,No Access,RL,2,4,3,3,216906,72302,6572900
Anna Nagar,1880,90,2,1,5,Partial,Yes,House,NoSewage,No Access,RM,3,4,4,3,483229,214768,13423020
KK Nagar,2413,166,4,2,6,AbNormal,No,Others,NoSewage,Paved,RM,2,2,2,2,419905,170587,13122040
T Nagar,1649,169,1,1,4,AdjLand,No,Commercial,All Pub,Gravel,RH,2,2,4,3,681808,113635,18939100
Velachery,1729,144,2,1,4,Partial,Yes,Commercial,NoSewage,Paved,A,3,4,4,3,396911,128036,12803570
T Nagar,1942,10,2,1,5,Family,No,House,NoSewage,Gravel,RH,4,3,2,3,320599,61654,12330740
Chrompet,711,116,1,1,2,AdjLand,Yes,Others,NoSewage,No Access,RL,2,3,2,2,249558,64402,8050270
Chrompet,885,122,1,1,3,Family,No,House,ELO,No Access,RM,4,2,2,3,237422,107919,7194600
KK Nagar,1688,148,2,1,4,AbNormal,Yes,House,NoSewage,Gravel,RM,2,2,4,3,547810,285318,11412700
Adyar,1236,108,2,2,4,Family,No,Commercial,ELO,Gravel,A,3,3,4,4,481414,24071,12035355
Karapakkam,926,98,1,1,3,Family,No,House,ELO,Gravel,RL,4,4,2,3,288834,68770,6877000
KK Nagar,1686,57,2,1,4,AbNormal,No,Others,NoSewage,Paved,RM,3,2,3,3,382817,196582,10346400
Karapakkam,1344,129,2,2,4,AdjLand,No,Commercial,NoSewage,Gravel,RH,4,4,3,3,453999,259428,10809500
KK Nagar,1437,104,2,1,4,Family,No,Others,All Pub,Gravel,RM,3,4,2,3,489629,102006,10200600
Karapakkam,1430,17,2,2,4,AbNormal,Yes,Others,NoSewage,No Access,A,4,3,3,3,238887,106172,6635750
Adyar,1081,85,1,1,3,Family,No,House,All Pub,No Access,C,3,3,3,3,241416,6190,6190150
Karapakkam,1352,1,2,2,4,Normal Sale,Yes,House,ELO,Gravel,A,3,2,3,2,240768,123638,6507250
KK Nagar,1986,109,3,2,5,Normal Sale,No,House,All Pub,Gravel,RM,4,3,4,4,476717,227008,11350400
Anna Nagar,1758,164,1,1,4,Partial,Yes,Commercial,All Pub,No Access,RL,3,2,4,3,713565,231426,19285540
Karapakkam,607,121,1,1,2,Normal Sale,No,Others,NoSewage,Gravel,RL,4,4,2,3,175699,117133,5856625
KK Nagar,2139,136,3,2,5,Normal Sale,Yes,Others,NoSewage,Paved,RL,2,4,2,2,424048,249440,12472000
KK Nagar,1488,97,2,1,4,Partial,No,Others,All Pub,Paved,RH,2,5,4,3,405211,202606,8441900
Velachery,1645,96,2,1,4,Partial,No,House,NoSewage,No Access,RH,3,4,2,3,250118,75793,7579320
Chrompet,950,177,1,1,3,Normal Sale,Yes,Others,NoSewage,Gravel,RL,3,2,3,3,273252,146385,9759000
Chrompet,928,90,1,1,3,Partial,Yes,Commercial,All Pub,Gravel,RH,2,3,3,3,409985,62119,12423800
Velachery,1693,145,2,1,4,Normal Sale,Yes,Commercial,NoSewage,Paved,RM,4,2,4,3,604335,108470,15495760
Velachery,1873,0,3,2,5,Family,Yes,Others,ELO,No Access,RL,4,3,3,3,363735,198401,11022270
Adyar,721,145,1,1,2,Partial,No,Others,NoSewage,Paved,RL,3,2,4,3,273800,60844,7605550
Karapakkam,1190,37,1,1,3,Family,Yes,House,NoSewage,Gravel,RH,4,4,3,4,342613,127484,7967750
KK Nagar,1593,9,2,1,4,Partial,No,Others,All Pub,Paved,RH,3,3,4,3,402606,223670,8946800
Chrompet,786,181,1,1,2,AbNormal,Yes,Others,ELO,Gravel,RL,4,4,4,4,249610,83203,9244820
Chrompet,1195,93,1,1,3,AdjLand,No,Others,NoSewage,Paved,RL,3,4,3,3,265183,29465,9821600
Velachery,1824,187,3,2,5,Normal Sale,No,House,NoSewage,Paved,I,3,2,4,3,273570,76942,8549060
KK Nagar,1906,81,3,2,5,AbNormal,Yes,Commercial,NoSewage,Paved,RH,3,4,3,3,792637,206086,15852740
Adyar,656,20,1,1,2,AbNormal,No,Commercial,All Pub,Paved,I,4,2,2,2,280244,113849,8757635
Chrompet,727,84,1,1,2,AbNormal,No,Others,ELO,Gravel,RM,3,4,2,3,218816,100992,8415990
Adyar,931,37,1,1,3,Family,Yes,Others,ELO,Paved,RM,2,3,4,3,367617,19871,9935595
Velachery,1898,108,3,2,5,AdjLand,Yes,Commercial,ELO,No Access,RM,3,2,4,3,581625,332357,16617860
Anna Nagar,1698,15,1,1,4,Family,No,House,NoSewage,Gravel,RM,5,4,3,4,359949,198593,12412050
T Nagar,1926,193,2,1,5,AdjLand,Yes,Commercial,NoSewage,No Access,RM,4,4,3,3,633655,203675,22630540
Karapakkam,1481,144,2,2,4,Partial,Yes,Commercial,All Pub,Paved,A,3,4,2,3,485174,178227,9901500
Anna Nagar,1506,122,1,1,4,Family,No,House,ELO,No Access,RM,3,3,2,3,417996,177648,10449910
Chrompet,1020,95,1,1,3,Family,No,House,NoSewage,No Access,RM,4,2,4,3,206664,31794,7948600
Chrompet,889,196,1,1,3,AbNormal,No,Others,ELO,Gravel,RM,5,2,2,3,300256,136480,9098680
Chrompet,1015,147,1,1,3,Family,Yes,House,All Pub,Paved,RH,3,4,2,3,275314,66743,8342850
T Nagar,1682,78,1,1,4,AbNormal,No,Commercial,All Pub,Gravel,RH,3,3,3,3,690507,111974,18662350
Chrompet,869,39,1,1,3,Family,No,Others,NoSewage,No Access,RM,4,4,3,4,220661,138935,8172630
Karapakkam,1445,20,2,2,4,Family,No,House,NoSewage,No Access,I,4,2,2,3,216691,87848,5856500
Anna Nagar,1919,178,2,1,5,Partial,Yes,House,NoSewage,Gravel,RM,2,5,3,3,544054,117633,14704160
Adyar,1243,141,2,2,4,Normal Sale,Yes,Commercial,NoSewage,Paved,C,3,4,2,3,440895,26721,13360440
Karapakkam,857,158,1,1,2,Normal Sale,No,House,ELO,Paved,I,3,2,3,3,236556,59139,4928250
Karapakkam,1055,174,1,1,3,AdjLand,Yes,Others,NoSewage,Gravel,I,3,2,4,3,226769,117042,7315125
KK Nagar,1778,94,3,2,5,Family,No,Others,NoSewage,Gravel,RL,3,3,4,3,340948,153976,10998320
Karapakkam,851,124,1,1,2,AdjLand,No,Others,ELO,Paved,A,3,4,2,3,181073,39364,3936375
Chrompet,1021,82,1,1,3,Partial,Yes,Others,NoSewage,No Access,RL,2,2,4,2,276053,147228,9201770
KK Nagar,2203,76,3,2,5,AbNormal,Yes,Commercial,NoSewage,Paved,RL,2,2,4,3,572520,339934,17891240
Karapakkam,613,81,1,1,2,Family,No,Commercial,NoSewage,No Access,I,4,4,2,3,195491,66879,5144500
Adyar,738,69,1,1,2,Partial,No,Commercial,NoSewage,No Access,I,2,4,5,3,324194,8313,8312670
Karapakkam,1489,177,2,2,4,AdjLand,No,House,ELO,Gravel,RH,4,3,4,3,384348,200181,8007250
Karapakkam,795,73,1,1,2,AbNormal,Yes,House,NoSewage,Gravel,RM,3,2,4,3,254378,127189,8479250
Velachery,1909,11,3,2,5,Family,Yes,Others,All Pub,Gravel,A,4,4,5,4,303875,212712,10129160
Chrompet,1252,190,2,1,4,Family,No,House,All Pub,No Access,RM,3,4,4,4,265502,47411,9482200
Karapakkam,1077,144,1,1,3,AbNormal,No,Commercial,ELO,Paved,RM,3,4,4,4,305249,246169,9846750
KK Nagar,1524,73,2,1,4,Normal Sale,No,Others,NoSewage,Paved,RH,3,2,2,3,303654,208220,8675820
Chrompet,1049,36,1,1,3,Partial,Yes,House,ELO,Gravel,RM,4,4,3,4,328398,133412,10262450
Velachery,1780,194,2,1,4,AbNormal,No,Others,All Pub,Gravel,C,4,2,2,2,329500,130066,8671050
Chrompet,946,14,1,1,3,AdjLand,No,Commercial,ELO,No Access,RL,3,3,4,3,368463,111656,11165550
Chrompet,906,116,1,1,3,Partial,Yes,House,NoSewage,Gravel,RM,3,4,3,3,302874,28394,9464800
KK Nagar,2344,71,4,2,6,AbNormal,No,Commercial,NoSewage,Gravel,RM,4,3,4,4,622046,471247,18849880
Adyar,929,76,1,1,3,AdjLand,Yes,Others,NoSewage,Paved,RH,2,2,2,2,341295,75843,9480425
Anna Nagar,1843,158,2,1,5,AdjLand,No,House,ELO,No Access,RL,3,3,3,3,318884,147177,12264750
Anna Nagar,1918,187,2,1,5,Partial,Yes,Commercial,All Pub,Gravel,RL,3,2,2,2,809377,218751,21875050
KK Nagar,1507,54,2,1,4,Normal Sale,Yes,Commercial,All Pub,Paved,RH,3,4,3,3,636313,243694,13538580
KK Nagar,1499,89,2,1,4,Family,No,House,All Pub,Gravel,RH,2,3,4,3,372805,186403,8876320
KK Nagar,1526,64,2,1,4,Normal Sale,Yes,Commercial,All Pub,Paved,RH,4,3,4,4,518512,327481,13645040
Anna Nagar,1855,82,2,1,5,AbNormal,Yes,Commercial,NoSewage,Paved,RH,3,2,4,3,839848,188966,20996200
Karapakkam,1627,39,2,2,4,Normal Sale,Yes,Others,ELO,Paved,RH,4,4,2,3,308418,99782,9071125
Velachery,1846,28,3,2,5,AbNormal,No,House,All Pub,Gravel,RM,3,3,2,3,378554,129790,10815830
KK Nagar,2019,65,3,2,5,AbNormal,Yes,Others,NoSewage,Paved,RM,3,3,3,3,601718,230445,12802500
Karapakkam,1578,153,2,2,4,Normal Sale,Yes,Others,All Pub,Gravel,I,4,4,3,3,295508,238313,9532500
Velachery,1780,115,2,1,4,Family,Yes,Commercial,NoSewage,No Access,C,2,4,2,3,453788,173507,13346700
Karapakkam,662,148,1,1,2,Partial,No,Commercial,NoSewage,No Access,C,4,3,2,3,143765,65348,4356500
Chrompet,1005,17,1,1,3,Family,No,Commercial,NoSewage,Gravel,RL,2,2,4,3,355456,183857,12257100
Karapakkam,839,102,1,1,2,Partial,No,House,NoSewage,Paved,C,4,4,2,3,192724,49206,4100500
Anna Nagar,1698,76,1,1,4,Partial,No,House,All Pub,No Access,RM,4,4,4,4,403460,80692,11527430
Adyar,878,16,1,1,3,Partial,Yes,House,NoSewage,Paved,A,5,3,5,4,225847,6453,6452785
Chrompet,835,77,1,1,3,Partial,Yes,House,ELO,Paved,RM,3,4,3,3,227738,33739,8434750
Chrompet,911,84,1,1,3,Partial,Yes,Others,ELO,No Access,RH,3,3,2,3,245118,37139,7427820
Velachery,1796,176,2,1,4,AdjLand,Yes,House,ELO,No Access,RH,4,2,3,3,318687,118370,9105350
Karapakkam,1004,182,1,1,3,AdjLand,No,Others,ELO,No Access,C,4,3,3,3,193582,75544,4721500
Anna Nagar,1694,86,1,1,4,Normal Sale,No,Others,NoSewage,Paved,RL,2,2,2,2,377250,213775,12575010
Karapakkam,1244,50,1,1,3,AbNormal,Yes,Others,All Pub,Gravel,I,2,2,2,2,246535,143150,7952750
Karapakkam,588,163,1,1,2,Partial,No,Others,All Pub,Paved,RL,4,4,3,4,228220,57055,5705500
KK Nagar,2342,69,4,2,6,AdjLand,Yes,House,NoSewage,Paved,RL,4,3,2,3,567545,180582,12898740
Velachery,1835,88,3,2,5,Normal Sale,No,Others,All Pub,Paved,RL,4,2,2,2,418181,182284,10722580
Anna Nagar,1977,84,2,1,5,Partial,Yes,House,All Pub,Gravel,RL,4,4,3,4,423089,211544,14102960
KK Nagar,1961,104,3,2,5,AbNormal,Yes,Commercial,NoSewage,Gravel,RM,2,2,3,2,792581,387484,17612900
Velachery,1517,82,2,1,4,Normal Sale,Yes,House,NoSewage,No Access,A,3,3,3,3,257288,85763,7146890
KK Nagar,2409,103,4,2,6,Partial,Yes,Others,NoSewage,Gravel,RL,4,4,2,3,606442,242577,13476480
Velachery,1864,187,3,2,5,Partial,No,Commercial,ELO,Gravel,RH,3,4,2,3,528520,181207,15100560
Velachery,1643,52,2,1,4,Family,Yes,Commercial,All Pub,Paved,RM,4,3,2,3,577164,249584,15599020
Adyar,1015,76,1,1,3,Family,Yes,Commercial,NoSewage,No Access,C,4,2,2,2,370412,112246,11224620
Anna Nagar,1700,135,1,1,4,Normal Sale,Yes,Others,NoSewage,No Access,RH,4,2,2,3,424219,174679,12477040
